,"Before: True, I am confident",Before: True but I am not sure,"After: True, I am confident",After: True but I am not sure
M1,12.727272727272727,10.909090909090908,18.181818181818183,10.909090909090908
M2,5.454545454545454,9.090909090909092,5.454545454545454,7.2727272727272725
M3,7.2727272727272725,21.818181818181817,9.090909090909092,20.0
M4,16.363636363636363,16.363636363636363,21.818181818181817,7.2727272727272725
M5,9.090909090909092,25.454545454545453,18.181818181818183,21.818181818181817
M6,0.0,10.909090909090908,3.6363636363636362,7.2727272727272725
M7,7.2727272727272725,12.727272727272727,7.2727272727272725,1.8181818181818181
M8,0.0,7.2727272727272725,1.8181818181818181,1.8181818181818181
M9,14.545454545454545,23.636363636363637,27.27272727272727,29.09090909090909
